n;player;season;team;position;games_played;games_started;wins;losses;overtime_losses;shots_against;saves;goals_against;save_percentage;goal_against_average;time_on_ice;shutouts;goals;assists;points;penalty_minutes
1;Cam Talbot;2016-17;EDM;G;73;73;42;22;8;2117;1946;171;0.919;2.39;4294:00;7;0;0;0;4
2;Braden Holtby;2016-17;WSH;G;63;63;42;13;6;1690;1563;127;0.925;2.07;3680:10;9;0;0;0;0
3;Sergei Bobrovsky;2016-17;CBJ;G;63;63;41;17;5;1854;1727;127;0.931;2.06;3707:04;7;0;0;0;8
4;Devan Dubnyk;2016-17;MIN;G;65;63;40;19;5;1842;1701;141;0.923;2.25;3758:00;5;0;0;0;10
5;Tuukka Rask;2016-17;BOS;G;65;64;37;20;5;1610;1473;137;0.915;2.23;3679:30;8;0;2;2;0
6;Carey Price;2016-17;MTL;G;62;62;37;20;5;1794;1656;138;0.923;2.23;3708:08;3;0;1;1;4
7;Martin Jones;2016-17;SJS;G;65;65;35;23;6;1725;1573;152;0.912;2.4;3800:21;2;0;0;0;0
8;Jake Allen;2016-17;STL;G;61;60;33;20;5;1620;1482;138;0.915;2.42;3418:19;4;0;1;1;4
9;Frederik Andersen;2016-17;TOR;G;66;66;33;16;14;2052;1883;169;0.918;2.67;3799:20;4;0;1;1;16
10;Matt Murray;2016-17;PIT;G;49;47;32;10;4;1450;1339;111;0.923;2.41;2765:48;4;0;2;2;0
11;Corey Crawford;2016-17;CHI;G;55;55;32;18;4;1691;1553;138;0.918;2.55;3246:52;2;0;1;1;2
12;Pekka Rinne;2016-17;NSH;G;61;61;31;19;9;1757;1613;144;0.918;2.42;3567:47;3;0;0;0;4
13;Henrik Lundqvist;2016-17;NYR;G;57;55;31;20;4;1650;1502;148;0.91;2.74;3240:26;2;0;1;1;0
14;Peter Budaj;2016-17;LAK, TBL;G;60;55;30;21;3;1414;1294;120;0.915;2.18;3308:16;7;0;1;1;0
15;Steve Mason;2016-17;PHI;G;58;54;26;21;8;1556;1413;143;0.908;2.66;3224:37;3;0;1;1;0
16;Brian Elliott;2016-17;CGY;G;49;45;26;18;3;1338;1217;121;0.909;2.55;2844:25;2;0;0;0;4
17;Cam Ward;2016-17;CAR;G;61;61;26;22;12;1711;1549;162;0.905;2.69;3617:55;2;0;1;1;6
18;Thomas Greiss;2016-17;NYI;G;51;49;26;18;5;1453;1327;126;0.913;2.69;2813:17;3;0;1;1;0
19;Connor Hellebuyck;2016-17;WPG;G;56;53;26;19;4;1572;1426;146;0.907;2.89;3033:31;4;0;0;0;0
20;Craig Anderson;2016-17;OTT;G;40;40;25;11;4;1247;1155;92;0.926;2.28;2421:14;5;0;1;1;0
21;John Gibson;2016-17;ANA;G;52;49;25;16;9;1437;1328;109;0.924;2.22;2950:21;6;0;1;1;4
22;Robin Lehner;2016-17;BUF;G;59;58;23;26;8;1910;1758;152;0.92;2.68;3405:28;2;0;1;1;6
23;Andrei Vasilevskiy;2016-17;TBL;G;50;47;23;17;7;1480;1357;123;0.917;2.61;2831:16;2;0;2;2;2
24;Kari Lehtonen;2016-17;DAL;G;59;52;22;25;7;1546;1395;151;0.902;2.85;3177:09;3;0;1;1;4
25;Jonathan Bernier;2016-17;ANA;G;39;33;21;7;4;982;899;83;0.915;2.5;1993:11;2;0;0;0;4
26;Cory Schneider;2016-17;NJD;G;60;59;20;27;11;1781;1618;163;0.908;2.82;3472:50;2;0;0;0;0
27;Mike Condon;2016-17;PIT, OTT;G;41;38;19;14;6;1122;1026;96;0.914;2.48;2324:25;5;0;0;0;4
28;Mike Smith;2016-17;ARI;G;55;55;19;26;9;1819;1663;156;0.914;2.92;3202:08;3;0;0;0;14
29;Marc-Andre Fleury;2016-17;PIT;G;38;34;18;10;7;1181;1074;107;0.909;3.02;2125:15;1;0;0;0;6
30;Ryan Miller;2016-17;VAN;G;54;54;18;29;6;1737;1587;150;0.914;2.8;3211:51;3;0;1;1;22
31;James Reimer;2016-17;FLA;G;43;39;18;16;5;1222;1124;98;0.92;2.53;2324:35;3;0;0;0;2
32;Ben Bishop;2016-17;TBL, LAK;G;39;37;18;15;5;1040;946;94;0.91;2.54;2222:37;1;0;0;0;10
33;Chad Johnson;2016-17;CGY;G;36;36;18;15;1;969;882;87;0.91;2.59;2013:12;3;0;0;0;0
34;Scott Darling;2016-17;CHI;G;32;27;18;5;5;877;810;67;0.924;2.38;1688:35;2;0;0;0;0
35;Petr Mrazek;2016-17;DET;G;50;44;18;21;9;1462;1317;145;0.901;3.04;2857:31;1;0;0;0;2
36;Roberto Luongo;2016-17;FLA;G;40;39;17;15;6;1217;1113;104;0.914;2.68;2326:34;1;0;1;1;4
37;Antti Raanta;2016-17;NYR;G;30;26;16;8;2;782;721;61;0.922;2.26;1617:20;4;0;1;1;0
38;Calvin Pickard;2016-17;COL;G;50;48;15;31;2;1461;1321;140;0.904;2.98;2820:16;2;0;2;2;2
39;Philipp Grubauer;2016-17;WSH;G;24;19;13;6;2;585;542;43;0.926;2.04;1264:34;3;0;0;0;0
40;Carter Hutton;2016-17;STL;G;30;21;13;8;2;663;605;58;0.912;2.39;1459:03;4;0;1;1;4
41;Jaroslav Halak;2016-17;NYI;G;28;26;12;9;5;885;810;75;0.915;2.8;1605:29;2;0;1;1;0
42;Antti Niemi;2016-17;DAL;G;37;30;12;12;4;880;785;95;0.892;3.3;1728:30;0;0;0;0;0
43;Aaron Dell;2016-17;SJS;G;20;17;11;6;1;533;496;37;0.93;2;1110:33;1;0;0;0;0
44;Michal Neuvirth;2016-17;PHI;G;28;24;11;11;1;586;522;64;0.891;2.82;1363:38;0;0;0;0;2
45;Louis Domingue;2016-17;ARI;G;31;26;11;15;1;888;806;82;0.908;3.08;1598:41;0;0;0;0;0
46;Juuse Saros;2016-17;NSH;G;21;19;10;8;3;614;567;47;0.923;2.35;1199:55;1;0;1;1;0
47;Jimmy Howard;2016-17;DET;G;26;24;10;11;1;675;626;49;0.927;2.1;1396:43;1;0;0;0;2
48;Anders Nilsson;2016-17;BUF;G;26;23;10;10;4;857;791;66;0.923;2.67;1484:15;1;0;0;0;0
49;Jacob Markstrom;2016-17;VAN;G;26;23;10;11;3;692;630;62;0.91;2.63;1416:58;0;0;0;0;2
50;Michael Hutchinson;2016-17;WPG;G;28;20;9;12;3;690;623;67;0.903;2.92;1378:20;1;0;0;0;0
51;Eddie Lack;2016-17;CAR;G;20;18;8;7;3;492;444;48;0.902;2.64;1089:51;1;0;0;0;0
52;Keith Kinkaid;2016-17;NJD;G;26;23;8;13;3;778;713;65;0.916;2.64;1476:05;1;0;1;1;0
53;Curtis McElhinney;2016-17;CBJ, TOR;G;21;15;8;8;2;616;565;51;0.917;2.7;1134:39;1;0;0;0;0
54;Al Montoya;2016-17;MTL;G;19;18;8;6;4;569;519;50;0.912;2.67;1124:53;2;0;2;2;2
55;Jonathan Quick;2016-17;LAK;G;17;17;8;5;2;421;386;35;0.917;2.26;930:57;2;0;0;0;2
56;Darcy Kuemper;2016-17;MIN;G;18;17;8;5;3;562;507;55;0.902;3.13;1053:02;0;0;1;1;4
57;Anton Khudobin;2016-17;BOS;G;16;14;7;6;1;405;366;39;0.904;2.64;884:47;0;0;1;1;2
58;Joonas Korpisalo;2016-17;CBJ;G;14;13;7;5;1;401;363;38;0.905;2.88;790:31;1;0;0;0;0
59;Semyon Varlamov;2016-17;COL;G;24;23;6;17;0;745;669;76;0.898;3.38;1347:47;1;0;1;1;0
60;Jared Coreau;2016-17;DET;G;14;14;5;4;3;362;321;41;0.887;3.46;711:40;2;0;0;0;0
61;Ondrej Pavelec;2016-17;WPG;G;8;8;4;4;0;233;207;26;0.888;3.55;439:30;0;0;0;0;0
62;Laurent Brossoit;2016-17;EDM;G;8;4;4;1;0;153;142;11;0.928;1.99;332:27;0;0;0;0;0
63;J.F. Berube;2016-17;NYI;G;14;7;3;2;2;271;241;30;0.889;3.42;526:49;0;0;0;0;0
64;Michael Leighton;2016-17;CAR;G;4;3;2;2;0;92;80;12;0.87;3.42;210:17;0;0;1;1;0
65;Richard Bachman;2016-17;VAN;G;5;5;2;3;0;162;149;13;0.92;2.64;295:11;0;0;0;0;0
66;Anthony Stolarz;2016-17;PHI;G;7;4;2;1;1;181;168;13;0.928;2.07;376:05;1;0;0;0;0
67;Jeff Zatkoff;2016-17;LAK;G;13;8;2;7;1;223;196;27;0.879;2.94;550:24;0;0;0;0;0
68;Charlie Lindgren;2016-17;MTL;G;2;2;2;0;0;59;56;3;0.949;1.48;121:42;0;0;0;0;0
69;Alex Stalock;2016-17;MIN;G;2;2;1;1;0;54;51;3;0.944;1.51;118:55;0;0;0;0;0
70;Antoine Bibeau;2016-17;TOR;G;2;2;1;1;0;55;51;4;0.927;1.99;120:39;0;0;0;0;0
71;Eric Comrie;2016-17;WPG;G;1;1;1;0;0;39;35;4;0.897;4.05;59:18;0;0;0;0;0
72;Jonas Gustavsson;2016-17;EDM;G;7;5;1;3;1;139;122;17;0.878;3.1;328:58;0;0;0;0;0
73;Jeremy Smith;2016-17;COL;G;10;8;1;6;1;286;254;32;0.888;3.54;542:43;0;0;0;0;0
74;Jon Gillies;2016-17;CGY;G;1;1;1;0;0;28;27;1;0.964;1;60:00;0;0;0;0;0
75;Magnus Hellberg;2016-17;NYR;G;2;1;1;0;0;28;26;2;0.928;1.53;78:31;0;0;0;0;0
76;Zane McIntyre;2016-17;BOS;G;8;3;0;4;1;155;133;22;0.858;3.97;332:37;0;0;0;0;0
77;Jack Campbell;2016-17;LAK;G;1;0;0;0;0;5;5;0;1;--;20:00;0;0;0;0;0
78;David Rittich;2016-17;CGY;G;1;0;0;0;0;10;9;1;0.9;3;20:00;0;0;0;0;0
79;Tristan Jarry;2016-17;PIT;G;1;1;0;1;0;25;22;3;0.88;3.06;58:45;0;0;0;0;0
80;Alex Nedeljkovic;2016-17;CAR;G;1;0;0;0;0;17;17;0;1;--;29:57;0;0;0;0;2
81;Dustin Tokarski;2016-17;ANA;G;1;0;0;0;0;5;5;0;1;--;9:47;0;0;0;0;0
82;Reto Berra;2016-17;FLA;G;7;4;0;5;0;145;127;18;0.876;3.45;313:07;0;0;0;0;0
83;Spencer Martin;2016-17;COL;G;3;3;0;2;1;96;83;13;0.865;4.35;179:26;0;0;0;0;0
84;Pheonix Copley;2016-17;STL;G;1;1;0;1;0;29;24;5;0.828;5.09;58:56;0;0;0;0;0
85;Linus Ullmark;2016-17;BUF;G;1;1;0;1;0;36;33;3;0.917;3.06;58:44;0;0;0;0;0
86;Jorge Alves;2016-17;CAR;G;1;0;0;0;0;0;0;0;0;--;0:08;0;0;0;0;0
87;Andrew Hammond;2016-17;OTT;G;6;4;0;2;0;86;72;14;0.837;4.08;205:39;0;0;0;0;0
88;Chris Driedger;2016-17;OTT;G;1;0;0;1;0;15;11;4;0.733;6;40:00;0;0;0;0;0
89;Kristers Gudlevskis;2016-17;TBL;G;1;0;0;0;0;3;3;0;1;--;11:27;0;0;0;0;0
90;Justin Peters;2016-17;ARI;G;3;1;0;1;0;70;63;7;0.9;3.16;132:55;0;0;0;0;0
91;Anton Forsberg;2016-17;CBJ;G;1;1;0;1;0;27;23;4;0.852;4.1;58:35;0;0;0;0;0
92;Jhonas Enroth;2016-17;TOR;G;6;4;0;3;1;141;123;18;0.872;3.94;274:26;0;0;0;0;0
93;Marek Mazanec;2016-17;NSH;G;4;2;0;2;0;87;73;14;0.839;4.73;177:35;0;0;1;1;0
94;Malcolm Subban;2016-17;BOS;G;1;1;0;1;0;16;13;3;0.813;5.88;30:36;0;0;0;0;0
95;Marek Langhamer;2016-17;ARI;G;1;0;0;0;0;8;7;1;0.875;3.87;15:31;0;0;0;0;0
96;Braden Holtby;2015-16;WSH;G;66;66;48;9;7;1802;1661;141;0.922;2.2;3841:11;3;0;1;1;6
97;Jonathan Quick;2015-16;LAK;G;68;68;40;23;5;1820;1671;149;0.918;2.22;4034:29;5;0;3;3;10
98;Martin Jones;2015-16;SJS;G;65;65;37;23;4;1734;1591;143;0.917;2.27;3785:52;6;0;0;0;0
99;Marc-Andre Fleury;2015-16;PIT;G;58;58;35;17;6;1665;1533;132;0.921;2.29;3462:33;5;0;1;1;2
100;Ben Bishop;2015-16;TBL;G;61;60;35;21;4;1672;1549;123;0.926;2.06;3584:38;6;0;1;1;4
101;Roberto Luongo;2015-16;FLA;G;62;60;35;19;6;1801;1660;141;0.922;2.35;3601:51;4;0;2;2;4
102;Corey Crawford;2015-16;CHI;G;58;58;35;18;5;1718;1587;131;0.924;2.37;3322:39;7;0;1;1;2
